epoch,lr,loss,acc,val_loss,val_acc
0.0,0.0001,1.7955785751342774,7.5,1.4485979557037354,36.0
1.0,0.0001,1.3951547503471375,40.000000953674316,1.300270390510559,36.0
2.0,0.0001,1.126145565509796,72.5,1.1705373764038085,38.000000381469725
3.0,0.0001,0.9337875008583069,80.0,1.011409628391266,71.00000076293945
4.0,0.0001,0.8025542497634888,79.0,0.8580079436302185,77.0
5.0,0.0001,0.7147287905216217,80.0,0.743200933933258,77.0
6.0,0.0001,0.6514872789382935,81.5,0.6684741377830505,78.0
7.0,0.0001,0.5925945550203323,80.5,0.6229197561740876,78.0
8.0,0.0001,0.5625840902328492,80.5,0.586972564458847,79.0
9.0,0.0001,0.5150173515081405,83.0,0.5439752459526062,80.0
10.0,0.0001,0.485987389087677,84.5,0.5190578162670135,81.0
11.0,0.0001,0.47400776743888856,83.0,0.5031759381294251,80.0
12.0,0.0001,0.446174693107605,85.5,0.47501606345176695,81.0
13.0,0.0001,0.42895871102809907,84.5,0.45045788288116456,83.0
14.0,0.0001,0.41943866908550265,85.0,0.4500257074832916,81.0
15.0,0.0001,0.38177654445171355,87.0,0.4249012589454651,85.0
16.0,0.0001,0.38068152964115143,87.5,0.4237253129482269,84.0
17.0,0.0001,0.3624828815460205,87.0,0.417839777469635,84.0
18.0,0.0001,0.35695673525333405,92.0,0.4039514362812042,86.0
19.0,0.0001,0.3337285488843918,89.0,0.390988290309906,86.0
20.0,0.0001,0.34242482036352156,88.5,0.3899160176515579,85.0
21.0,0.0001,0.3533787876367569,88.5,0.3807877391576767,87.0
22.0,0.0001,0.30460189282894135,91.0,0.37316225469112396,86.0
23.0,0.0001,0.31140234917402265,89.5,0.359292209148407,87.0
24.0,0.0001,0.3030730992555618,90.5,0.3730150103569031,87.0
25.0,0.0001,0.3108921617269516,89.0,0.35172452330589293,87.0
26.0,0.0001,0.29373539090156553,89.0,0.3552857220172882,88.0
27.0,0.0001,0.27073048055171967,91.0,0.34927770793437957,87.0
28.0,0.0001,0.25321443378925323,91.5,0.34498178362846377,88.0
29.0,0.0001,0.24295995086431504,94.0,0.37801366448402407,86.0
30.0,0.0001,0.2812353029847145,91.0,0.3561236172914505,87.0
31.0,0.0001,0.24306850284337997,93.0,0.32444363832473755,90.0
32.0,0.0001,0.24274834841489792,92.5,0.34585787951946256,86.0
