epoch,lr,loss,acc,val_loss,val_acc
0.0,0.0001,1.269564938545227,69.00000076293945,1.3846356391906738,64.00000076293945
1.0,0.0001,0.951561588048935,69.00000038146973,1.1432734489440919,64.00000076293945
2.0,0.0001,0.7706381857395173,73.00000076293945,0.9905666470527649,74.0
3.0,0.0001,0.6572108834981918,81.5,0.8639665961265564,71.0
4.0,0.0001,0.5756360858678817,81.0,0.711351752281189,80.0
5.0,0.0001,0.5139949053525925,82.0,0.6031610846519471,77.0
6.0,0.0001,0.46636793613433836,85.5,0.5351015090942383,79.0
7.0,0.0001,0.4265627503395081,85.0,0.4921580493450165,81.0
8.0,0.0001,0.3848376989364624,89.0,0.46184388399124143,81.0
9.0,0.0001,0.3610484451055527,89.0,0.43618184328079224,86.0
10.0,0.0001,0.32571030408143997,91.5,0.4091475963592529,88.0
11.0,0.0001,0.3008164256811142,91.0,0.3911097228527069,87.0
12.0,0.0001,0.2674203231930733,94.0,0.3800554245710373,88.0
13.0,0.0001,0.25923982411623003,94.5,0.3734056860208511,88.0
14.0,0.0001,0.23648154437541963,97.5,0.3591554045677185,88.0
15.0,0.0001,0.2285371631383896,97.0,0.3647637963294983,87.0
16.0,0.0001,0.20880400240421296,96.0,0.3440245896577835,90.0
17.0,0.0001,0.18953207582235337,97.5,0.3428462415933609,87.0
18.0,0.0001,0.1952209636569023,96.5,0.34742066264152527,90.0
19.0,0.0001,0.1687940962612629,98.0,0.34936044812202455,87.0
20.0,0.0001,0.15882956907153128,97.0,0.34306190609931947,91.0
21.0,0.0001,0.14014095216989517,98.0,0.32232102155685427,90.0
22.0,0.0001,0.12985319048166274,98.5,0.3475202679634094,88.0
23.0,0.0001,0.12364253103733062,98.5,0.3672496467828751,86.0
24.0,0.0001,0.15337371975183486,96.5,0.31753667891025544,90.0
25.0,0.0001,0.11483762487769127,98.5,0.32006658613681793,87.0
26.0,0.0001,0.10410616621375084,100.0,0.32834060192108155,89.0
27.0,0.0001,0.10654200315475464,99.5,0.3242087334394455,88.0
28.0,0.0001,0.0993747092783451,99.0,0.3188763469457626,88.0
29.0,0.0001,0.08869232647120953,99.5,0.3399747580289841,88.0
30.0,0.0001,0.07889311909675598,100.0,0.3270320013165474,89.0
31.0,0.0001,0.07518290653824806,100.0,0.2984291434288025,88.0
32.0,0.0001,0.08553694300353527,99.5,0.31529186218976973,91.0
33.0,0.0001,0.07451483495533466,100.0,0.3071918338537216,90.0
34.0,0.0001,0.053664468601346015,100.0,0.3252085819840431,87.0
35.0,0.0001,0.0671088520437479,100.0,0.29953132569789886,89.0
36.0,0.0001,0.055721085518598557,100.0,0.296792608499527,89.0
37.0,0.0001,0.06414500884711742,100.0,0.3091298609972,88.0
38.0,0.0001,0.045956624671816826,100.0,0.3221312165260315,88.0
39.0,0.0001,0.042395399510860445,100.0,0.30159072428941724,88.0
40.0,0.0001,0.0722422707825899,100.0,0.30768298357725143,89.0
41.0,0.0001,0.040658633410930636,100.0,0.31892103850841524,88.0
42.0,0.0001,0.04667198583483696,100.0,0.29842385202646254,90.0
43.0,0.0001,0.04856538772583008,100.0,0.31789920926094056,86.0
44.0,0.0001,0.05293519031256437,99.5,0.3007761999964714,90.0
45.0,0.0001,0.03431264813989401,100.0,0.3452179431915283,87.0
46.0,0.0001,0.04989482220262289,100.0,0.30005913227796555,89.0
47.0,0.0001,0.0464735584333539,100.0,0.29376002699136733,90.0
48.0,0.0001,0.036294993944466114,100.0,0.3440966039896011,87.0
49.0,0.0001,0.027957640029489993,100.0,0.2855451017618179,89.0
50.0,0.0001,0.03302119597792626,100.0,0.3627011090517044,86.0
51.0,0.0001,0.029614752903580666,100.0,0.3146982669830322,89.0
52.0,0.0001,0.030968939512968065,100.0,0.28730309531092646,89.0
53.0,0.0001,0.029128235764801502,100.0,0.31305816769599915,89.0
54.0,0.0001,0.020958269573748113,100.0,0.3054369166493416,89.0
55.0,0.0001,0.025542056560516356,100.0,0.30901089012622834,89.0
56.0,0.0001,0.03695891611278057,100.0,0.31437507942318915,91.0
57.0,0.0001,0.035579314641654494,100.0,0.28706959187984465,85.0
58.0,0.0001,0.026109794713556768,100.0,0.3698067381978035,88.0
59.0,0.0001,0.028458261303603648,100.0,0.29403361976146697,85.0
60.0,0.0001,0.02051616907119751,100.0,0.3308194652199745,88.0
61.0,0.0001,0.026456568762660025,100.0,0.29181620851159096,89.0
